Buchungsdatum,Belegdatum,Werk,Kostenstelle,Materialnummer,Materialbezeichnung,Bewegungsart,Menge,Einheit,Lieferant,Betrag,Waehrung
15.01.2024,12.01.2024,1000,CC-1001,000000000000500123,Diesel Fuel (Gasoil),261,5000,KG,BP-Fuels-DE,4250.00,GBP
22.01.2024,20.01.2024,1000,CC-1001,000000000000500123,Diesel Fuel (Gasoil),261,3800,KG,BP-Fuels-DE,3230.00,GBP
05.02.2024,03.02.2024,2000,CC-2003,000000000000500123,Diesel Fuel (Gasoil),261,6200,KG,Shell-UK,5270.00,GBP
18.02.2024,16.02.2024,1000,CC-1005,000000000000500456,Petrol/Gasoline (Benzin),261,2100,KG,BP-Fuels-DE,1890.00,GBP
28.02.2024,27.02.2024,1000,CC-1001,000000000000500123,Diesel Fuel (Gasoil),261,42000,KG,BP-Fuels-DE,35700.00,GBP
01.03.2024,29.02.2024,2000,CC-2003,000000000000500123,Diesel Fuel (Gasoil),261,8900,KG,Shell-UK,7565.00,GBP
12.03.2024,11.03.2024,3000,CC-3001,000000000000500789,LPG (Propan),261,1500,KG,Calor-Gas,1050.00,GBP
20.03.2024,19.03.2024,1000,CC-1001,000000000000500123,Diesel Fuel (Gasoil),261,4400,KG,BP-Fuels-DE,3740.00,GBP
25.03.2024,24.03.2024,2000,CC-2003,000000000000600001,Natural Gas (Erdgas),261,3200,M3,British-Gas,1920.00,GBP
10.01.2024,09.01.2024,1000,CC-1001,000000000000500123,Diesel Fuel (Gasoil),101,5000,KG,BP-Fuels-DE,4250.00,GBP
15.02.2024,14.02.2024,2000,CC-2003,000000000000700001,Office Supplies,261,250,KG,Staples-UK,180.00,GBP
